                     Solutions for Fixed Effects
 
                               Standard
  Effect      loc   Estimate      Error      DF   t Value   Pr > |t|
 
  Intercept          -2.3014     0.1299      19    -17.71     <.0001
  sst                 0.6842     0.8048     940      0.85     0.3955
  sst*loc      1     -2.3722     0.9425     940     -2.52     0.0120
  sst*loc      2     -1.0899     1.0884     940     -1.00     0.3169
  sst*loc      3     -0.1626     1.0903     940     -0.15     0.8815
  sst*loc      4     -1.7982     0.9983     940     -1.80     0.0720
  sst*loc      5     -2.3047     0.9505     940     -2.42     0.0155
  sst*loc      6      0.2787     1.1485     940      0.24     0.8083
  sst*loc      7      0.4961     1.0736     940      0.46     0.6442
  sst*loc      8     -0.3755     1.0646     940     -0.35     0.7244
  sst*loc      9      0.1688     1.0704     940      0.16     0.8747
  sst*loc     10     -1.2240     1.0758     940     -1.14     0.2555
  sst*loc     11      0.5692     1.0841     940      0.53     0.5997
  sst*loc     12     -0.2797     1.1234     940     -0.25     0.8034
  sst*loc     13     -0.7348     1.0723     940     -0.69     0.4934
  sst*loc     14    -0.06291     1.1820     940     -0.05     0.9576
  sst*loc     15     -0.6257     1.0882     940     -0.58     0.5654
  sst*loc     16     -1.7484     1.0079     940     -1.73     0.0831
  sst*loc     17     0.07983     1.0491     940      0.08     0.9394
  sst*loc     18    -0.03744     1.1037     940     -0.03     0.9729
  sst*loc     19     -1.2069     0.9933     940     -1.22     0.2246
  sst*loc     20           0          .       .       .        .
